sha	classification	matched_published_sha	match_method	shape	tree_status	parents	introduced_pathblobs	unmatched	novel_paths	reason	subject
06e751c45791163d04836b430a9c1cecf9bf0113	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	5	4	0	4 of 5 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-b7-read-only-mode: b4d2c2c feat: route graph queries through ephemeral SQLite for external collections (#100)
0a68ae5b1d00b101938de3ba7313ea293aa44b61	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-c2-graph-check: a724447 feat: add collectionSupportsGraph for external store graph query detection
0b4c18d7ace20ecf1f8779ce726707627415151d	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-b6-collection-selector: 0d72f31 feat: enhance collection selector with platform icons and external collection labels
0f162512f55d45554f923ca39d875dc14f120fff	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-a7-cli-link-unlink: c539aef feat: add ft collection link/unlink/links CLI commands
13c4630ccce0bac20e7fa41d3b73356eae16809c	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on main: faa6982 feat: add LinkedAccount store methods with tests (#93)
159f7f0d3a415972552e40e20d614db5239bdcd1	DUPLICATE	2c973dc52b6eba6243a23dac8460c3b35256343d	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_MATCHES_REFREACHABLE	2	3	0	0	all 3 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on feat/f45-beads-import: 3c7d487 Add Beads JSONL import format with auto-detection
15b7f3f1c7a5618fb58e2fceb4b7e03e43cce62b	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	5	2	0	2 of 5 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (9/9) present in published main	feat: enable write-through for writable GitHub passthrough collections
15f6fae43a639b25755f79f90883d6a8580609ed	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	4	3	0	3 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (19/19) present in published main	feat: add dashboard collection picker
18d49518566c630157d46e105492829b28389323	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	2	1	0	1 of 2 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (9/9) present in published main	feat(web): add relationship mutation fields to UpdateTaskFields
1ab1bb6d4b62c3c0a44ed8c1479b25850435c55d	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on auth/stage6-credential-improvements: e32dad9 feat(auth): add encrypted credential storage, OAuth flows, token refresh, and monitoring
1c2c7860122ac8c034be8bd2217126e539725b91	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-b7-read-only-mode: b4d2c2c feat: route graph queries through ephemeral SQLite for external collections (#100)
1f067aa3ee24a0d846d5a1d34fd3ed19519e356c	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	12	10	0	10 of 12 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-c3-graph-routing: 2f93830 feat: route graph queries through ephemeral SQLite for external collections
1f3ba2dab6890b098d72b96bd4c8398112db204d	DUPLICATE	7d64230c47d1ba48daf9d7cbeeeeb3b890ff2887	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	docs: add project log for F59 IAP token header feature
203271ed39791c54dda7a2e4d0cc6dab02e8f4fe	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	4	2	0	2 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (5/5) present in published main	fix: use typed gRPC errors for reliable Unimplemented detection
2280c87c6a463776daf907d6805b340b7af9a005	DUPLICATE	224fc981685d0599bba56d403779e3a7df5e0846	patch-id --stable exact	ORDINARY	TREE_MATCHES_REFREACHABLE	1	4	0	0	patch-id identical to published commit 224fc981685d0599bba56d403779e3a7df5e0846	feat: add ft collection link/unlink/links CLI commands
24bda4b72e2674e572cd7f8d19a3b8a367de6775	DUPLICATE	ab2071e865f0faa90108e09c6b9128eb189ed39b	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	docs: add project log for passthrough spinner fix
287a7d4cadc08c8e7e7d316ddbc3c1ea1c45b666	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	3	3	2	0	2 of 3 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/f35-inspector-title-constant: 21d4abb feat(inspector): move task title to constant position above tabs
2a455a118a242a0c8e00f1b93ccf95a43c2147c8	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	6	4	0	4 of 6 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on main: b4d2c2c feat: route graph queries through ephemeral SQLite for external collections (#100)
2d849a43bdc380de0b813b84dd9a6471eaea8857	DUPLICATE	f1938468bd9f7382a79468f1faf3f5861d22b22f	patch-id --stable exact	ORDINARY	TREE_MATCHES_REFREACHABLE	1	3	0	0	patch-id identical to published commit f1938468bd9f7382a79468f1faf3f5861d22b22f	feat: add WatchTasks guard for external platform collections
2eb9b996d7a61fcfcb4da7833daa70a0f7984833	DUPLICATE	55437f30f6191833ecf12a74b5d71390341f663d	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	4	0	0	all 4 introduced (path,blob) pairs already present in published history; only the commit boundary differs	fix: address R1 review findings for inspector tabs
347cd08c69ac6fb363998de8587fe79390cadb0a	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	4	2	0	2 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/decomposer-extras: ba93de8 feat: add decomposer binary for LLM-driven task DAG creation
361f5270523a13e56ccb58d5026772ad0107d822	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	7	4	0	4 of 7 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-b8-poll-refresh: ad1d043 feat: enhance collection selector with platform icons and external collection labels (#99)
362fc4041595835cefb4fbdd332747783b880f49	DUPLICATE	b4d2c2cb947193ecb40e2872b95258cd7c630ade	(path,blob) containment; earliest published carrier	STASH_ON	TREE_UNIQUE	3	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	On feat/extstore-b6-collection-selector: c3 graph routing changes
367f1904326f47fdd0b10b84570156b1706b6283	DUPLICATE	3db1688c8b50883efc45d94be287ca1d2b2543d5	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	fix: address review findings — remove CSS injection risk and add a11y attributes
3c512d3f760b5cecfff11ed8009733a482ac483d	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	7	1	0	1 of 7 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-c2-graph-check: a724447 feat: add collectionSupportsGraph for external store graph query detection
3dcef7b458c475aa68b1e7107f636b0850a96715	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/collection-export-import: 1c5e8cc fix: address collection import review findings
3fc5e700ebf27222cbb753b18f2939f41b1023e1	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on fix-dependency-closed-solo: cdfa1bf perf(dependency): add viewport culling + pan/zoom layout guard (#155)
409e1171608a0d47e5114ab59bdce5c8fe610fb0	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	4	1	0	1 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (11/11) present in published main	fix(tree): address review nitpicks — defensive copies, super.willUpdate, _userSetDepth docs
40b0aeae0172ca1dc01d5b433ca1038fb9c74a93	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on fix/passthrough-spinner: d95a755 feat(web): add UI read-only mode for external collections (B7) (#104)
440117d6e526a11df59afc7617aeade92f80c6b4	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-b4-watchtasks-guard: e608750 feat: add lazy platform store registration to MultiStore (#96)
44e73f2b5bc3ebe4078b4a59ebc43d2c7f12cb26	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	4	2	0	2 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-b3-lazy-registration: faa6982 feat: add LinkedAccount store methods with tests (#93)
45aa995288d6cd910295ee7c44abe721fb400ef4	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on main: befeffd Merge branch 'auth/stage2-web-dashboard-auth'
46827eddd9e31d950071cd04e046c2e2f9412012	NO_CONTENT		none	NEGCONTROL	TREE_UNIQUE	0	0	0	0	introduces no blob (empty vs first parent); parentless, empty tree	NEGATIVE CONTROL #2 for canonical-preserve checks, 2026-07-28 23:2xZ. Replaces d16632d9, which I invalidated myself. On NO ref, verify object store only. DO NOT FETCH THIS.
4acc02d8cfa3b3ad613002e476a519fc88974a19	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	1	1	0	1 of 1 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 0% (0/0) present in published main	feat(web): add independent vertical scroll to main content area
4bbcb396ac62e013eb7b8a518286cd66d0e3b635	DUPLICATE	7a2e742ec083f1f48179c16e6d1b6a3297d30883	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	4	0	0	all 4 introduced (path,blob) pairs already present in published history; only the commit boundary differs	fix: address code review Round 1 findings for Feature 46
4dc8271f51d56fae508a04a3bd98d5ec2289172a	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	6	3	0	3 of 6 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-a7-cli-link-unlink: c539aef feat: add ft collection link/unlink/links CLI commands
4dff18b860c298259005537015fa49cd05524e89	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/f35-inspector-title-constant: 21d4abb feat(inspector): move task title to constant position above tabs
4e551eb44c662a3e09ca4ce9455fb524d3bed47b	DUPLICATE	7d64230c47d1ba48daf9d7cbeeeeb3b890ff2887	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	fix: correct misleading comment in extractToken helper
5226e6320bdf18375a2e08f0adb56a6976a72fad	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	3	2	0	2 of 3 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (25/25) present in published main	feat: add command palette for fuzzy task search (Cmd+K / Ctrl+K)
537a8a9fb1bfd3c4a830ade6b1a51c84210fc217	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-a7-cli-link-unlink: 2d849a4 feat: add WatchTasks guard for external platform collections
55711989b01222c630ed341faae8a1299b627b74	DUPLICATE	34149dbe4746e9eb25b4d1bd6c01908fa7dc2389	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_UNIQUE	2	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on feat/collection-export-import: 1c5e8cc fix: address collection import review findings
55f284d0a73b64841b9cfe04d37b13971e802df2	SUPERSEDED_DRAFT		none	STASH_ON	TREE_UNIQUE	3	4	2	0	2 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	On feat/extstore-b3-lazy-registration: b3-lazy-registration-wip
57da2ff6ef72135591ae0c751157e8e75e062906	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	3	3	0	3 of 3 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (12/12) present in published main	feat: add inspector comment submission
58481fb494afa8ad5eca60721e45d259bf29c9d2	DUPLICATE	2ac0945ec601668dec1b6aa0a77b6791f26132c5	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	docs: add project log for passthrough write-through Phase 1
5a2c0cde271c971ea4218cf95b5047ec480314b5	DUPLICATE	34149dbe4746e9eb25b4d1bd6c01908fa7dc2389	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_UNIQUE	2	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on feat/collection-export-import: 2915bbb fix: address collection export import review
607726da58158311a0ed46bbff55f4d786337395	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	3	1	0	1 of 3 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (3/3) present in published main	feat: add reusable ft-empty-state component and integrate into tree view
61e621c6204c95d1fc24fe4512654135b0fb011a	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on fix/passthrough-spinner: 5a7b520 docs: add project log for passthrough spinner fix
6382b373290cddb65cb2807fae38d169e70cfce5	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	4	4	0	4 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (25/25) present in published main	feat(web): add dependency tree view (left-to-right layered DAG)
6640dffe2bb234b558ff600f12fd64b5ddb677a2	DUPLICATE	2b2908ee9cdca63d6fe92b4d8b877e4a960216a7	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_MATCHES_REFREACHABLE	2	6	0	0	all 6 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on feat/extstore-c4-graph-test: 2d99af3 test: add graph query integration tests for ephemeral external collections
690cbe605bfe0166d8e8078b1201ef5b70f4ea8d	DUPLICATE	0f36c6d387ee5f6e1a1b136c02ff8bd1ccb23e3d	patch-id --stable exact	ORDINARY	TREE_MATCHES_REFREACHABLE	1	3	0	0	patch-id identical to published commit 0f36c6d387ee5f6e1a1b136c02ff8bd1ccb23e3d	feat: wrap EntStore with MultiStore at server startup
69284d6e78ac74f70acaf10e7a8ea08792fbb803	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on fix/f47-ready-queue-alignment: aa0feb2 feat: write error toasts + type/label write-through for GitHub passthrough (#119)
6cd45fb687a7692a7d19558a7b5aec066021f81d	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	4	1	0	1 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-a7-cli-link-unlink: 2d849a4 feat: add WatchTasks guard for external platform collections
6eca2ef45f273943dd6df135b29a263c0c7eb657	UNIQUE		none	ORDINARY	TREE_UNIQUE	1	1	1	1	introduces 1 path(s) absent from all 295 published trees: .design/project-log/2026-07-21-b7-read-only-mode.md	docs: add project log for B7 read-only mode
76d174430d1f3f85ca9617d6256335abbaaa4271	DUPLICATE	2b2908ee9cdca63d6fe92b4d8b877e4a960216a7	(path,blob) containment; earliest published carrier	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	6	0	0	all 6 introduced (path,blob) pairs already present in published history; only the commit boundary differs	index on feat/extstore-c4-graph-test: 2d99af3 test: add graph query integration tests for ephemeral external collections
780f428463fd6ee6508751cc6b635a0a1294d271	SUPERSEDED_DRAFT		none	STASH_INDEX	TREE_UNIQUE	1	6	4	0	4 of 6 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	index on main: b4d2c2c feat: route graph queries through ephemeral SQLite for external collections (#100)
7c2b59370d24dd70c9c27f2db0bab81b322196b4	NO_CONTENT		none	STASH_INDEX	TREE_UNIQUE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/decomposer-extras: ba93de8 feat: add decomposer binary for LLM-driven task DAG creation
