pair	arm	exit	secs	loadavg1	failing_tests
1	unfixed	1	21.1	4.33	TestWatchTasks_CreatedEvent
1	fixed	1	21.0	5.41	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
2	unfixed	0	7.9	4.45	-
2	fixed	1	7.0	5.04	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
3	unfixed	0	8.0	4.88	-
3	fixed	1	7.0	5.62	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
4	unfixed	0	6.5	6.13	-
4	fixed	1	6.8	5.49	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
5	unfixed	0	6.4	5.45	-
5	fixed	1	8.0	5.41	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
6	unfixed	0	7.4	6.23	-
6	fixed	1	6.4	5.97	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
7	unfixed	1	10.8	6.14	TestWatchTasks_Heartbeat
7	fixed	1	7.1	6.90	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
8	unfixed	0	7.0	8.11	-
8	fixed	1	8.2	7.54	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
9	unfixed	0	6.8	7.74	-
9	fixed	1	8.1	7.25	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
10	unfixed	0	6.6	7.63	-
10	fixed	1	7.9	6.76	TestMultiStore_LazyRegistration_CachesOnSecondRequest,TestMultiStore_LazyRegistration_CreatesStoreOnFirstRequest
