ts-diff-r8 REF ENUMERATION - 2026-07-29T15:34:05Z
Full sweep, NO pattern used (git for-each-ref --format='%(objectname) %(refname)')
Both clones cloned from local path /workspace/farmtable. Zero commits authored by this leg.

############ /tmp/tsdiff/base  HEAD=e4e3d1352809428a5dfe386bb53c0b18a562332f ############
# ref count: 208  | all objects verified present in /workspace/farmtable
633f8f269bcf9225b62d3c7c119f8166eda9ae64 refs/heads/task-state-web-ui-v2  [ON-ORIGIN-PATH: YES]
633f8f269bcf9225b62d3c7c119f8166eda9ae64 refs/remotes/origin/HEAD  [ON-ORIGIN-PATH: YES]
633f8f269bcf9225b62d3c7c119f8166eda9ae64 refs/remotes/origin/attention-view  [ON-ORIGIN-PATH: YES]
8656fe03ddf6ca2b52cab98d2150e139edd941cf refs/remotes/origin/auth-stage4-deploy-prep  [ON-ORIGIN-PATH: YES]
d701613d5941a2d8348b2e54690cb31d06368ef5 refs/remotes/origin/auth-stage4-predeploy-fixes  [ON-ORIGIN-PATH: YES]
345406a60cca325f064aee3b8edadfabf2b92a67 refs/remotes/origin/auth/stage1-mandatory-enforcement  [ON-ORIGIN-PATH: YES]
a1c1e7a58da6972464f74ea750bda1829c0c2caa refs/remotes/origin/auth/stage2-web-dashboard-auth  [ON-ORIGIN-PATH: YES]
bd9be402c5c47ccbecd43705854494b8d3acfb3a refs/remotes/origin/auth/stage3-identity-aware-ops  [ON-ORIGIN-PATH: YES]
7cd046b3e81a63152ec296dd5bb8ac42dbbcce3d refs/remotes/origin/auth/stage4-scoped-tokens-rbac  [ON-ORIGIN-PATH: YES]
36d98aef93f7f844e0fbc8486e99bcb4f719ba23 refs/remotes/origin/auth/stage5-oauth-iap-proxy  [ON-ORIGIN-PATH: YES]
bc37487b1d975c7b8bff419f8dc509200d06d958 refs/remotes/origin/auth/stage6-credential-improvements  [ON-ORIGIN-PATH: YES]
8665535c2ac200a8cecb8a5890b97b59bf66c438 refs/remotes/origin/auth/wire-stage5-stage6  [ON-ORIGIN-PATH: YES]
5c05b0d5fd85f09defb255589ef2e70bb61907cc refs/remotes/origin/auth/wiring-review-fixes  [ON-ORIGIN-PATH: YES]
3585f2e1b844ff0a8489396d6d3ff38f15416d05 refs/remotes/origin/b7-read-only-work  [ON-ORIGIN-PATH: YES]
8dfd5b867c11cc4f73e88ffb478e3cc220ebf6cc refs/remotes/origin/deploy-10-snapshot  [ON-ORIGIN-PATH: YES]
8ac4bc02af2998466d4aa7f0eccf91f81947bddb refs/remotes/origin/deploy-11-snapshot  [ON-ORIGIN-PATH: YES]
146b3be8a1aa3f04c360f9e9c98b47452e35cec2 refs/remotes/origin/deploy-12-snapshot  [ON-ORIGIN-PATH: YES]
6cddeb432638cf37346524878ab5150d06abce65 refs/remotes/origin/deploy-13-snapshot  [ON-ORIGIN-PATH: YES]
b2a812309dc4259f36d4f913d0fda9fa703f6239 refs/remotes/origin/deploy-14-snapshot  [ON-ORIGIN-PATH: YES]
2ac0945ec601668dec1b6aa0a77b6791f26132c5 refs/remotes/origin/deploy-15-snapshot  [ON-ORIGIN-PATH: YES]
2f15c921e352ab8b604b02df4b3634705663f695 refs/remotes/origin/deploy-16-snapshot  [ON-ORIGIN-PATH: YES]
2095838bcbe45d8e3f594a1dd18dd518b7680729 refs/remotes/origin/deploy-17-snapshot  [ON-ORIGIN-PATH: YES]
aa0feb2fd79f7486a27fb6df5a050fb094e026d5 refs/remotes/origin/deploy-18-snapshot  [ON-ORIGIN-PATH: YES]
cb19a2f05cfca32b053d62c82f7e63b1d0759485 refs/remotes/origin/deploy-19-snapshot  [ON-ORIGIN-PATH: YES]
2c973dc52b6eba6243a23dac8460c3b35256343d refs/remotes/origin/deploy-20-snapshot  [ON-ORIGIN-PATH: YES]
7a2e742ec083f1f48179c16e6d1b6a3297d30883 refs/remotes/origin/deploy-21-snapshot  [ON-ORIGIN-PATH: YES]
b8ee51f8afdabd2708f8eaba00c3d4d448a6fd3a refs/remotes/origin/deploy-22-snapshot  [ON-ORIGIN-PATH: YES]
68149446ff4094b6d6661b7ebf587d7ae8ab07c8 refs/remotes/origin/deploy-23-snapshot  [ON-ORIGIN-PATH: YES]
277ae614135abff79171b6bd023ddc34f0ddf971 refs/remotes/origin/deploy-24-snapshot  [ON-ORIGIN-PATH: YES]
71dfe8866e5828fcf8f3a9cdfd16ebe9689f9b85 refs/remotes/origin/deploy-25-snapshot  [ON-ORIGIN-PATH: YES]
0596714a8e62a784960bc5551973f7e5e50bd59b refs/remotes/origin/deploy-26-snapshot  [ON-ORIGIN-PATH: YES]
40f8d82bcfdebab656a7b2cd912d580c4c628fac refs/remotes/origin/deploy-27-snapshot  [ON-ORIGIN-PATH: YES]
5ca903745168374aa2805d466f0ed53fbcf21003 refs/remotes/origin/deploy-28-snapshot  [ON-ORIGIN-PATH: YES]
f1a86dca6a855ee9bf4b7179dae305b6ef3e3580 refs/remotes/origin/deploy-29-snapshot  [ON-ORIGIN-PATH: YES]
696caccc9e0c3a3c435b922faf0bb331cdead145 refs/remotes/origin/deploy-30-snapshot  [ON-ORIGIN-PATH: YES]
b50075339c42357be10a95aae7df43cd8eada61f refs/remotes/origin/deploy-31-snapshot  [ON-ORIGIN-PATH: YES]
7d64230c47d1ba48daf9d7cbeeeeb3b890ff2887 refs/remotes/origin/deploy-32-snapshot  [ON-ORIGIN-PATH: YES]
c957f7e69bd7ace7d04ed35271c1ead897f56857 refs/remotes/origin/deploy-33-snapshot  [ON-ORIGIN-PATH: YES]
befeffda43f1c69fa81b6fcb9c2449500ead1703 refs/remotes/origin/deploy-34-snapshot  [ON-ORIGIN-PATH: YES]
5b05b0191a5eee2b5c23dc8281d26a917ce0061a refs/remotes/origin/deploy-35-snapshot  [ON-ORIGIN-PATH: YES]
8665535c2ac200a8cecb8a5890b97b59bf66c438 refs/remotes/origin/deploy-36-snapshot  [ON-ORIGIN-PATH: YES]
5c05b0d5fd85f09defb255589ef2e70bb61907cc refs/remotes/origin/deploy-37-snapshot  [ON-ORIGIN-PATH: YES]
0cf1f4b4c16422937917299bde8823344486e270 refs/remotes/origin/deploy-38-snapshot  [ON-ORIGIN-PATH: YES]
cc9d1180264b98ee401b1fd5b5efd62345ac4692 refs/remotes/origin/deploy-39-snapshot  [ON-ORIGIN-PATH: YES]
aff98a2be87e3a08b1e594b05654ed8c20c9bb74 refs/remotes/origin/deploy-40-snapshot  [ON-ORIGIN-PATH: YES]
65deb12ef92c00a40d2b8b6b4d66b1e2712798f5 refs/remotes/origin/deploy-41-snapshot  [ON-ORIGIN-PATH: YES]
eef367b29fcca7b224c31184549bc545db3f71fe refs/remotes/origin/deploy-42-snapshot  [ON-ORIGIN-PATH: YES]
